"La salle de classe","The classroom","module_1_vocabulaire"
"une activité","an activity","module_1_vocabulaire"
"un bureau","a desk","module_1_vocabulaire"
"un cahier","a notebook","module_1_vocabulaire"
"un camarade de classe","a classmate (masculine)","module_1_vocabulaire"
"une camarade de classe","a classmate (feminine)","module_1_vocabulaire"
"une chaise","a chair","module_1_vocabulaire"
"une chose","a thing","module_1_vocabulaire"
"une craie","a piece of chalk","module_1_vocabulaire"
"un crayon","a pencil","module_1_vocabulaire"
"les devoirs","homework","module_1_vocabulaire"
"un dictionnaire","a dictionary","module_1_vocabulaire"
"un étudiant","a student (masculine)","module_1_vocabulaire"
"une étudiante","a student (feminine)","module_1_vocabulaire"
"une fenêtre","a window","module_1_vocabulaire"
"une lampe","a lamp","module_1_vocabulaire"
"un livre","a book","module_1_vocabulaire"
"un marqueur","a felt-tip marker","module_1_vocabulaire"
"un mur","a wall","module_1_vocabulaire"
"un ordinateur","a computer","module_1_vocabulaire"
"un portable","a laptop","module_1_vocabulaire"
"une porte","a door","module_1_vocabulaire"
"un professeur","a teacher (masculine)","module_1_vocabulaire"
"une professeur","a teacher (feminine)","module_1_vocabulaire"
"une question","a question","module_1_vocabulaire"
"un stylo","a pen","module_1_vocabulaire"
"une table","a table","module_1_vocabulaire"
"un tableau","a blackboard","module_1_vocabulaire"
"un tableau blanc","a whiteboard","module_1_vocabulaire"
"un ami","a friend (masculine)","module_1_vocabulaire"
"une amie","a friend (feminine)","module_1_vocabulaire"
"un chat","a cat","module_1_vocabulaire"
"un chien","a dog","module_1_vocabulaire"
"un enfant","a child (masculine)","module_1_vocabulaire"
"une enfant","a child (feminine)","module_1_vocabulaire"
"une femme","a woman","module_1_vocabulaire"
"une fille","a girl","module_1_vocabulaire"
"un garçon","a boy","module_1_vocabulaire"
"un homme","a man","module_1_vocabulaire"
"une casquette","a baseball cap","module_1_vocabulaire"
"un chapeau","a hat","module_1_vocabulaire"
"des chaussures","shoes (feminine plural)","module_1_vocabulaire"
"une chemise","a shirt","module_1_vocabulaire"
"une jupe","a skirt","module_1_vocabulaire"
"des lunettes","glasses (feminine plural)","module_1_vocabulaire"
"un maillot de bain","a bathing suit","module_1_vocabulaire"
"un manteau","a coat","module_1_vocabulaire"
"un pantalon","(a pair of) pants","module_1_vocabulaire"
"une robe","a dress","module_1_vocabulaire"
"un sac","a purse","module_1_vocabulaire"
"un sac à dos","a backpack","module_1_vocabulaire"
"un sweat","a sweatshirt","module_1_vocabulaire"
"des baskets","sneakers (feminine plural)","module_1_vocabulaire"
"un jean","jeans","module_1_vocabulaire"
"un pull-over","a sweater (masculine)","module_1_vocabulaire"
"des sandales","sandals (feminine plural)","module_1_vocabulaire"
"un short","shorts","module_1_vocabulaire"
"des tennis","tennis shoes (feminine plural)","module_1_vocabulaire"
"un T-shirt","a T-shirt","module_1_vocabulaire"
"Je m'appelle...","My name is...","module_1_vocabulaire"
"Il s'appelle...","His name is...","module_1_vocabulaire"
"être","to be","module_1_vocabulaire"
"porter","to wear","module_1_vocabulaire"
"Qui est-ce?","Who is it?","module_1_vocabulaire"
"Qu'est-ce que c'est?","What is it?","module_1_vocabulaire"
"Est-ce que c'est un stylo?","Is it a pen?","module_1_vocabulaire"
"beau","handsome (masculine)","module_1_vocabulaire"
"belle","beautiful (feminine)","module_1_vocabulaire"
"blond","blond (masculine)","module_1_vocabulaire"
"blonde","blonde (feminine)","module_1_vocabulaire"
"brun","brown (masculine)","module_1_vocabulaire"
"brune","brunette (feminine)","module_1_vocabulaire"
"roux","red (hair) (masculine)","module_1_vocabulaire"
"rousse","red (hair) (feminine)","module_1_vocabulaire"
"gris","gray (masculine)","module_1_vocabulaire"
"grise","gray (feminine)","module_1_vocabulaire"
"court","short (hair) (masculine)","module_1_vocabulaire"
"courte","short (hair) (feminine)","module_1_vocabulaire"
"long","long (hair) (masculine)","module_1_vocabulaire"
"longue","long (hair) (feminine)","module_1_vocabulaire"
"de taille moyenne","of average size","module_1_vocabulaire"
"fort","heavy; stocky; strong (masculine)","module_1_vocabulaire"
"forte","heavy; stocky; strong (feminine)","module_1_vocabulaire"
"grand","big; tall (masculine)","module_1_vocabulaire"
"grande","big; tall (feminine)","module_1_vocabulaire"
"jeune","young","module_1_vocabulaire"
"joli","pretty (masculine)","module_1_vocabulaire"
"jolie","pretty (feminine)","module_1_vocabulaire"
"moch","ugly (masculine)","module_1_vocabulaire"
"moche","ugly (feminine)","module_1_vocabulaire"
"petit","little; small; short (person) (masculine)",module_1_vocabulaire
"petite","little; small; short (person) (feminine)",module_1_vocabulaire
"vieux","old; elderly (masculine)",module_1_vocabulaire
"vieille","old; elderly (feminine)",module_1_vocabulaire
"célèbre","famous",module_1_vocabulaire
"comique","funny",module_1_vocabulaire
"gentil","nice (masculine)",module_1_vocabulaire
"gentille","nice (feminine)",module_1_vocabulaire
"sympathique","nice",module_1_vocabulaire
"sympa","nice (familiar)",module_1_vocabulaire
"amusant","fun (masculine)",module_1_vocabulaire
"amusante","fun (feminine)",module_1_vocabulaire
"fatigué","tired (masculine)",module_1_vocabulaire
"fatiguée","tired (feminine)",module_1_vocabulaire
"idéaliste","idealistic",module_1_vocabulaire
"nerveux","nervous (masculine)",module_1_vocabulaire
"nerveuse","nervous (feminine)",module_1_vocabulaire
"optimiste","optimistic",module_1_vocabulaire
"patient","patient (masculine)",module_1_vocabulaire
"patiente","patient (feminine)",module_1_vocabulaire
"riche","rich",module_1_vocabulaire
"sérieux","serious (masculine)",module_1_vocabulaire
"sérieuse","serious (feminine)",module_1_vocabulaire
"sociable","sociable",module_1_vocabulaire
"timide","shy",module_1_vocabulaire
"blanc","white (masculine)",module_1_vocabulaire
"blanche","white (feminine)",module_1_vocabulaire
"bleu","blue (masculine)",module_1_vocabulaire
"bleue","blue (feminine)",module_1_vocabulaire
"brun","brown (masculine)",module_1_vocabulaire
"brune","brown (feminine)",module_1_vocabulaire
"gris","gray (masculine)",module_1_vocabulaire
"grise","gray (feminine)",module_1_vocabulaire
"jaune","yellow",module_1_vocabulaire
"marron","brown",module_1_vocabulaire
"noir","black (masculine)",module_1_vocabulaire
"noire","black (feminine)",module_1_vocabulaire
"rose","pink",module_1_vocabulaire
"rouge","red",module_1_vocabulaire
"vert","green (masculine)",module_1_vocabulaire
"verte","green (feminine)",module_1_vocabulaire
"De quelle couleur est le...","What color is the... (masculine)",module_1_vocabulaire
"De quelle couleur est la...","What color is the... (feminine)",module_1_vocabulaire
"beige","beige",module_1_vocabulaire
"orange","orange",module_1_vocabulaire
"violet","purple (masculine)",module_1_vocabulaire
"violette","purple (feminine)",module_1_vocabulaire
