"je suis","I am","module_2_classe_vocabulaire"
"tu es","you are (singular informal)","module_2_classe_vocabulaire"
"il est","he is","module_2_classe_vocabulaire"
"elle est","she is","module_2_classe_vocabulaire"
"nous sommes","we are","module_2_classe_vocabulaire"
"vous êtes","you are (plural/formal)","module_2_classe_vocabulaire"
"ils sont","they are (masculine)","module_2_classe_vocabulaire"
"elles sont","they are (feminine)","module_2_classe_vocabulaire"
"j'ai","I have","module_2_classe_vocabulaire"
"tu as","you have (singular informal)","module_2_classe_vocabulaire"
"il a","he has","module_2_classe_vocabulaire"
"elle a","she has","module_2_classe_vocabulaire"
"nous avons","we have","module_2_classe_vocabulaire"
"vous avez","you have (plural/formal)","module_2_classe_vocabulaire"
"ils ont","they have (masculine)","module_2_classe_vocabulaire"
"elles ont","they have (feminine)","module_2_classe_vocabulaire"
"je porte","I wear","module_2_classe_vocabulaire"
"tu portes","you wear (singular informal)","module_2_classe_vocabulaire"
"il porte","he wears","module_2_classe_vocabulaire"
"elle porte","she wears","module_2_classe_vocabulaire"
"nous portons","we wear","module_2_classe_vocabulaire"
"vous portez","you wear (plural/formal)","module_2_classe_vocabulaire"
"ils portent","they wear (masculine)","module_2_classe_vocabulaire"
"elles portent","they wear (feminine)","module_2_classe_vocabulaire"
